"Grau","equidist","glj","cheb"
15,"      7.19"," 4.925e-02"," 4.660e-02"
16,"      2.11"," 9.128e-02"," 8.309e-02"
17,"     14.39"," 3.480e-02"," 3.261e-02"
18,"      4.22"," 6.138e-02"," 5.590e-02"
19,"     29.19"," 2.417e-02"," 2.249e-02"
20,"      8.58"," 4.126e-02"," 3.758e-02"
21,"     59.77"," 1.656e-02"," 1.533e-02"
22,"     17.60"," 2.772e-02"," 2.526e-02"
23,"    123.62"," 1.124e-02"," 1.036e-02"
24,"     36.40"," 1.863e-02"," 1.698e-02"
25,"    257.21"," 7.559e-03"," 6.947e-03"
26,"     75.76"," 1.252e-02"," 1.141e-02"
27,"    538.17"," 5.054e-03"," 4.634e-03"
28,"    158.69"," 8.410e-03"," 7.669e-03"
29,"   1130.74"," 3.362e-03"," 3.078e-03"
30,"    333.94"," 5.651e-03"," 5.154e-03"
31,"   2384.73"," 2.229e-03"," 2.061e-03"
32,"    704.08"," 3.797e-03"," 3.463e-03"
33,"   5058.99"," 1.510e-03"," 1.402e-03"
34,"   1494.38"," 2.551e-03"," 2.328e-03"
35,"  10719.90"," 1.025e-03"," 9.488e-04"
